word,count
versigtig,60
Schiller,60
vas,60
you,60
plan,59
beloof,59
sterk,59
klink,59
waarvan,59
dikwels,59
direkteur,59
trots,59
skilder,59
red,59
doodmaak,59
kort,58
Nene,58
lug,58
woon,58
onmoontlik,58
ongelukkig,58
byna,58
ophou,58
film,58
moeg,58
vier,58
bestaan,58
lang,58
nogal,57
bevel,57
spesiale,57
storie,57
vergewe,57
huil,56
reis,56
homself,56
veg,56
duidelik,56
gewees,56
amper,56
sedert,55
woorde,55
oud,55
hard,55
Peter,55
gevaar,55
majoor,54
steek,54
geloof,54
ouma,54
rustig,54
prinses,54
Wells,54
Johannes,54
gebou,54
nê,54
Franse,53
joune,53
darem,53
geleer,53
orde,53
jare,53
maand,53
albei,53
maande,53
gedood,53
stad,53
vinnig,53
Russe,52
breek,52
generaal,52
warm,52
baba,52
getroud,52
pragtige,52
huwelik,52
ontvang,51
besef,51
platform,51
alreeds,51
sweer,51
fout,51
hoof,51
aand,51
Ben,50
Albert,50
lei,50
Hello,50
vry,50
Birkut,50
Inger,50
plaas,49
hallo,49
bereik,49
stap,49
verduidelik,49
gister,49
blomme,49
beskerm,48
eenmaal,48
sekerlik,48
kameraad,48
waaroor,48
verdien,48
wonder,48
wyn,48
droom,48
oral,48
pragtig,48
gladnie,48
omtrent,48
klomp,48
ryk,47
treurig,47
veilig,47
woonstel,47
Leopold,47
nuus,47
enigiets,47
totaal,47
daarna,47
dank,47
einde,47
slaan,47
skiet,47
vlieg,46
mis,46
komaan,46
bos,46
gesoek,46
rond,46
liggaam,46
verlede,46
ontploffing,46
vrae,46
pyn,46
enkele,46
grap,46
kant,46
belangrik,46
heen,46
doktor,46
geneem,46
hare,46
rooi,45
vyf,45
klop,45
Duitse,45
langs,45
venster,45
Don,45
pak,45
Wenen,45
kolonel,45
wakker,44
gooi,44
frank,44
Frankryk,44
gesondheid,44
herken,44
beide,44
druk,44
see,44
werklik,44
liefhet,44
rok,44
Gilles,44
teken,44
roep,44
ses,44
bom,44
spel,44
staat,44
Charlotte,44
prokureur,44
Rembrandt,44
soen,43
Jan,43
doel,43
Chabert,43
voordat,43
hof,43
begryp,43
voort,43
vermoor,43
plesier,43
kies,43
verdwyn,43
genoem,43
duiwel,43
stilte,43
tafel,43
glimlag,43
Deer,43
watse,43
s'n,42
aangaan,42
gesond,42
vreugde,42
vrees,42
dié,42
soort,42
erken,42
soms,42
Mathieu,42
skoon,42
beslis,42
daarop,42
Vera,42
min,42
Parsa,42
belowe,42
elkeen,42
toekoms,41
Tant,41
verlief,41
mal,41
bloed,41
tuis,41
werd,41
vrede,41
erg,40
span,40
McBride,40
meester,40
soveel,40
Lotte,40
dooie,40
juis,40
kans,40
bier,40
boeke,40
Hitler,40
hond,40
hang,40
gebreek,40
probleme,40
George,40
monsieur,40
gemors,40
Oostenryk,40
Mike,40
Sophie,39
erger,39
Siedler,39
adres,39
beveel,39
gewoonlik,39
menere,39
grond,39
Ciske,39
veral,39
uiteindelik,39
gelees,39
muur,39
elk,39
OK,39
Ivan,39
gevolg,39
tronk,38
aandag,38
koningin,38
vraag,38
gebel,38
Engelse,38
klas,38
beplan,38
