word,count
글쎄,1553
엄마는,1549
되면,1545
훨씬,1545
있잖아요,1544
데리고,1542
그러지,1541
듣고,1532
않으면,1529
뒤에,1529
세,1522
집,1521
거기서,1520
보세요,1517
손,1515
최고의,1515
뭔지,1513
말하는,1510
어쩌면,1509
것처럼,1509
신경,1506
말하지,1506
당신도,1502
모르는,1501
아버지가,1500
어느,1499
너를,1498
아마도,1486
친구가,1478
되고,1478
환자,1477
이봐요,1471
생각이,1471
유일한,1471
망할,1469
없다고,1454
전화,1452
도대체,1444
존,1439
양,1435
가진,1434
있게,1431
이번,1428
후에,1417
어쨌든,1415
말할,1413
말아요,1412
그만해,1409
갑자기,1406
필요해요,1405
가야,1403
마치,1400
걱정,1400
대신,1397
누구야,1394
당신에게,1390
생각을,1388
늘,1387
그들을,1383
매일,1383
조지,1383
누군가,1383
없었어,1382
알잖아,1381
지,1380
한다,1379
것입니다,1377
아이를,1377
않았어요,1372
아침,1371
뭐하는,1368
집으로,1355
자넨,1351
수는,1350
모두가,1350
둘이,1344
보자,1343
봤어요,1343
사는,1342
두고,1342
건데,1341
손을,1340
수술을,1337
거다,1334
그들의,1333
분명히,1332
당신과,1329
얘기를,1328
있네,1327
한다고,1327
일단,1325
이름을,1324
없잖아,1321
너랑,1320
했잖아,1314
잡아,1313
그레이,1313
보는,1309
중에,1308
땐,1303
이유가,1303
좋아하는,1295
하게,1291
기분이,1290
뭐지,1288
못해,1284
결국,1283
알렉스,1281
기분,1273
뭔데,1273
금방,1269
하세요,1265
그때,1262
찾고,1262
우리에게,1260
베일리,1259
알게,1259
남자가,1258
찾을,1257
언제나,1254
저를,1252
가면,1252
아니죠,1249
앞으로,1247
우리도,1244
이상한,1243
저희,1239
텐데,1238
집에서,1233
어제,1229
왜냐하면,1228
맘에,1226
때가,1225
잠깐만요,1225
스스로,1222
아님,1221
해봐,1220
방법이,1219
놈이,1218
자신의,1217
여기가,1216
미친,1215
아침에,1208
먹고,1207
있어야,1203
건가,1201
애가,1199
머리,1193
게다가,1193
뭐죠,1192
아들,1190
있던,1185
데,1184
죽일,1184
환자가,1182
보지,1176
없죠,1175
같네요,1169
막,1167
총,1167
일어나,1166
했던,1165
눈을,1164
있지만,1163
고맙습니다,1163
아이,1159
조용히,1158
없었어요,1158
앉아,1153
밤에,1152
잘못,1146
뭔,1145
이것,1142
방법을,1140
들었어,1138
나에게,1135
자신을,1131
타고,1130
아니라고,1126
누군지,1126
힘을,1125
원래,1125
만나서,1124
길을,1120
믿을,1119
여길,1119
솔직히,1118
진정해,1117
않습니다,1117
살아,1115
대로,1113
좋지,1112
사랑하는,1100
메러디스,1100
만든,1100
라고,1099
자기가,1098
조심해,1095
따라,1092
하려고,1091
기다리고,1090
술,1090
얼른,1090
충분히,1088
천천히,1086
저희가,1085
찾아,1083
더이상,1082
일에,1079
정확히,1078
있었는데,1076
얘들아,1073
괜찮은,1068
이럴,1066
평생,1066
될까요,1064
눈,1062
총을,1061
아이가,1055
잘했어,1053
적어도,1052
빌어먹을,1052
저기요,1049
거기에,1047
저게,1047
말하고,1046
가끔,1042
놈,1040
너와,1039
마요,1038
얘야,1037
좋았어,1037
괜찮을,1035
아녜요,1031
마음에,1029
잠시,1028
주,1023
생각엔,1022
걔가,1021
맞지,1021
아저씨,1021
분명,1020
문을,1020
역시,1018
됩니다,1015
훌륭한,1014
알겠지,1014
아까,1014
문제,1013
죽었어,1013
만들어,1010
어딨어,1008
개,1008
아니잖아,1008
위에,1006
입,1006
살고,1006
애,1004
거고,1003
저녁,1003
삶을,1003
생각은,1002
집을,1001
영원히,1000
생각하는,996
간,995
싫어요,993
남은,992
분,992
알았는데,992
계세요,989
있었던,989
될거야,988
서,988
생각해요,987
그렇지만,986
알아서,985
어디에,984
옆에,983
그럼요,983
들고,982
도와줘,981
그대로,977
좋을,977
준비가,976
곳에,974
뭐든,971
그러나,969
엄청난,969
멈춰,967
이번엔,967
있으니까,966
아빠는,966
테니까,963
이지,962
멍청한,962
하자,957
마지막으로,956
차를,955
하는지,955
기회를,954
그렇다면,953
필요가,953
여자를,951
속에,951
앞에서,949
그랬어,949
말한,947
있었지,947
잠시만요,947
받아,947
오는,946
보니,946
정도,945
자네는,945
뭐라고요,943
없는데,942
말라고,940
이해가,933
간다,933
일도,930
입고,928
물,928
하나도,928
걸로,927
그것도,926
뒤로,926
못할,924
애들,923
끔찍한,921
저한테,920
앞에,920
있소,919
선생님이,919
아름다운,918
정신,918
있었죠,918
서둘러,916
크리스티나,916
다음에,916
놈들이,916
하루,912
들어가,909
소리야,908
들어봐,905
밖으로,905
줘요,905
년,905
준,904
가세요,904
제게,904
아니다,903
번째,903
아버지는,901
뭐요,900
요즘,899
관한,899
가게,898
문제는,897
믿어,896
단,894
저런,893
받고,892
하지마,892
모르겠지만,891
좋겠어,889
미국,888
누구도,887
만큼,884
끝났어,883
입니다,883
사랑,882
머리를,881
특별한,881
여기는,881
얘,879
할게,878
했지만,878
옷,877
힘든,877
씨발,875
자기야,875
어머니,874
쓸,871
뭔가를,871
건지,870
나야,868
되죠,868
갈게,866
보게,866
없네,863
중이야,860
말해봐,859
별,858
일이에요,857
언니,856
생각하지,856
받을,854
할까,852
헤이,852
꽉,852
형,850
걔,850
닥쳐,849
할지,848
그것은,846
그에게,844
상황이,844
여기로,844
마음을,843
같은데요,843
여자는,841
저건,841
엄마를,841
테니,839
찾는,838
가족을,837
할거야,835
오고,835
멀리,834
믿지,833
어쩔,832
세상을,832
않을거야,830
이름,829
처럼,827
얘길,827
하기,827
주고,827
환자를,825
오말리,823
겁니까,823
있니,817
들었어요,816
손에,815
아닌데,814
약,814
없다는,813
있을까,812
전화를,808
이유는,806
그러고,806
맞는,806
돈이,805
놔,805
조금만,805
거짓말,804
어린,804
사람이야,804
할게요,803
모르지,803
