word,count
gepatroj,72
demandi,72
pastro,71
okulojn,71
akvon,71
adiaŭ,71
supren,71
vojon,71
ludi,71
konservu,71
stultulo,70
Sofi,70
ideo,70
Mej,70
prefere,70
ironworks,70
korpo,70
pordo,70
foje,70
hieraŭ,70
matenon,69
metu,69
intencas,69
sango,69
aŭdi,69
celas,69
ricevis,69
atingi,69
feliĉa,69
eliri,68
idioto,68
daŭrigu,68
skribis,68
frue,68
alportis,67
Fantoci,67
kelkajn,67
alvenas,66
reiru,66
Macario,66
doni,66
forta,66
helpos,66
si,66
oro,66
libro,66
lasis,66
ĝojas,66
flugi,65
malaperis,65
animo,65
similas,65
helpon,65
trankvile,65
forlasis,65
chu,65
ve,64
falis,64
antaŭen,64
reveni,64
aferojn,64
siaj,64
dormi,64
ŝtelis,64
mondon,64
fero,63
ofte,63
aĉeti,63
kies,63
nokte,63
foriros,63
revido,63
fojon,63
scipovas,63
demandas,63
Ah,62
terura,62
lumo,62
arbo,62
patron,62
malamas,62
atendi,62
timu,62
Turf,62
preta,62
ekzemple,62
sendis,61
dormas,61
polico,61
tria,61
ĉie,61
ricevos,61
paco,61
lasos,60
ŝajne,60
terure,60
celo,60
caro,60
veron,60
staras,60
zorgas,60
boars,60
infanojn,60
demandis,59
danĝero,59
lupoj,59
sekvu,59
vento,59
komencis,59
Elnederlandigis,59
dormis,59
bonvenon,59
freneziĝis,59
ĉeestas,59
tian,59
ludo,58
vero,58
kian,58
lasi,58
longa,58
aĵoj,58
eniris,58
soldatoj,58
timo,58
popolo,58
ĉi-tie,58
dankas,58
propra,57
vizaĝo,57
sorĉistino,57
rolo,57
petegas,57
malfacile,57
klare,56
stranga,56
preferas,56
pafis,56
sciu,56
malbeno,56
reĝa,56
Jesuo,56
ludas,56
alvenos,56
portas,55
Sal,55
ulo,55
pensu,55
savi,55
Dreverhaven,55
Maŭra,55
diablo,55
skribi,55
Ranĉo,55
Eminenco,55
ene,55
Yakul,55
profesoro,55
mastro,55
maro,54
bestoj,54
vilaĝo,54
ŝanĝi,54
matene,54
strange,54
anstataŭ,54
trajno,54
foriras,54
ia,54
sinjoroj,54
parolos,53
vizaĝon,53
ĝardeno,53
provis,53
sidas,53
kaptu,53
atingis,53
helpo,53
manon,53
fek,53
aŭskultas,52
demono,52
festo,52
parto,52
bele,52
batali,52
montri,52
porti,52
tuŝu,52
domon,52
trafis,52
bonaj,52
tribo,52
knabinoj,52
pafu,52
rakontis,52
flanko,52
legi,51
Haku,51
finis,51
fraŭlino,51
memoru,51
plaĉas,51
Kristo,51
serĉi,51
fiulo,51
karulo,51
ĉambro,51
hm,51
promesis,51
propran,51
grandaj,51
savu,50
nomas,50
pasis,50
unuan,50
metis,50
telefonis,50
respondu,50
princo,50
manĝis,50
atendis,50
Phil,50
filon,49
manĝaĵo,49
mano,49
naskiĝis,49
kuracisto,49
bebo,49
ordonis,49
junulo,49
malantaŭ,49
farus,49
rekte,49
horoj,49
brave,49
doktoro,49
viva,49
maljuna,49
fermu,49
lernis,49
instruisto,49
ĉiutage,49
Impastato,48
koron,48
avino,48
Esperanto,48
mil,48
malgranda,48
kulpas,48
manĝos,48
iĝos,48
lago,48
renkontis,48
Karlo,48
vortoj,48
finiĝis,48
direktoro,48
radio,48
iĝis,47
ideon,47
demando,47
imagu,47
Patrick,47
pardonpetas,47
uzi,47
pensi,47
plena,47
dioj,47
oficejo,47
korpon,47
dubi,47
kreskas,47
infero,47
Kiki,47
entute,47
proksime,47
kredis,47
alie,46
mortintoj,46
subite,46
halo,46
aĉetis,46
freneza,46
Viĉjo,46
nigra,46
forlasi,46
bedaŭrinde,46
komencu,46
vojaĝo,46
lingvo,46
flugas,46
Raĝu,46
apro,45
birdo,45
homon,45
apartenas,45
Nago,45
aŭto,45
instruis,45
Mazi,45
kiaj,45
mortu,45
revenas,45
mallumo,45
zubi,45
Miĉjo,45
fojo,45
po,44
hotelo,44
kostas,44
taŭgas,44
kvankam,44
trovu,44
ie,44
sep,44
perfekta,44
historio,44
aĵojn,44
promesas,44
strato,44
Kazaroza,44
Korvaks,44
edzinon,44
montros,44
kredi,44
Brazilo,44
persono,44
nekredeble,43
malnova,43
apenaŭ,43
dirus,43
prave,43
troviĝas,43
kaptis,43
ŝatis,43
Pablito,43
sxin,43
ĝenas,43
ĝia,43
uzas,43
ruĝa,43
Katadreuffe,43
legis,43
grandega,43
ŝian,43
bonega,43
vespere,43
militon,42
forte,42
dorso,42
mortas,42
ricevas,42
Marko,42
belaj,42
belan,42
Pia,42
filmo,42
trovas,42
super,42
helpas,42
ses,42
øi,42
imperiestro,42
aferon,42
ian,42
savis,42
speciala,41
kuras,41
Kaĉjo,41
malmulte,41
movu,41
morton,41
sonas,41
malamo,41
komprenu,41
elektis,41
rizo,41
portis,41
tiajn,41
Paŭleta,41
ankoraŭfoje,41
forto,41
nenia,41
violonisto,41
hundo,41
komenco,41
monatoj,41
kamaradoj,41
pura,41
demandu,41
monstro,41
volo,41
landon,40
gesinjoroj,40
delonge,40
alporti,40
atenton,40
Karl,40
pagos,40
naturo,40
precize,40
lumon,40
Pjel,40
rivero,40
rakontu,40
Toki,40
Gaj,40
lerni,40
prenas,40
nura,39
reĝino,39
duono,39
sekura,39
krome,39
plene,39
veturu,39
levi,39
cin,39
varma,39
farita,39
libron,39
aero,39
hastu,39
malamiko,39
ordono,39
Aĥ,39
vundita,39
provas,39
tiru,39
nomis,39
monto,39
kantas,39
Mi-young,38
steloj,38
absolute,38
saman,38
finita,38
malsupren,38
Inklinalriks,38
bezonos,38
indas,38
gajnis,38
renkonti,38
supozas,38
l-to,38
rimarkis,38
Usono,38
rigardis,38
aŭton,38
legu,38
insulo,38
punkto,38
gardu,38
Brendano,38
mortinta,38
atendos,38
ĉarma,38
minuton,38
rekonas,38
lastan,38
malfruas,37
pafi,37
Korbin,37
morta,37
vekiĝu,37
sekundoj,37
danki,37
kelkfoje,37
massarakŝ,37
dume,37
dudek,37
iĝas,37
klaso,37
homaj,37
laŭte,37
skribu,37
karno,37
malsana,37
avo,37
sentis,37
ŝancon,37
numero,37
ŝlosilon,37
ricevi,36
donaco,36
problemojn,36
havu,36
moviĝu,36
Aj,36
tagojn,36
male,36
okcidento,36
Totoro,36
malbono,36
kantu,36
Farhan,36
radion,36
malfermi,36
Ĝiĝi,36
minutojn,36
serioze,36
fratoj,35
amikon,35
Oracle,35
Jiko,35
mirinde,35
finu,35
trinku,35
frenezas,35
horojn,35
nome,35
kulpo,35
surmetu,35
spirito,35
cxi,35
sole,35
unufoje,35
arbaroj,35
jaron,35
ŝanĝiĝis,35
Ĝafaro,35
imagas,35
reiri,35
konsentas,35
vivos,35
fini,35
kuŝas,35
armeo,35
kontrolu,35
iliajn,35
plian,35
muso,34
kafon,34
lito,34
vivis,34
Lara,34
veran,34
Luigi,34
dank,34
fariĝis,34
fariĝos,34
veras,34
atingos,34
sukcesas,34
aŭskulti,34
pagi,34
Parizo,34
Kalcifer,34
urbon,34
Héctor,34
kialo,33
feston,33
alta,33
ŝajnis,33
provos,33
proponas,33
aĉetos,33
falas,33
malbenita,33
finos,33
respondi,33
luno,33
klaras,33
demandon,33
deziron,33
permesas,33
voku,33
ĉefe,33
novajn,33
uzu,33
portu,33
valoras,33
Konsentite,33
centro,33
suferas,33
piedoj,33
kredu,33
pripensis,33
floroj,33
I,33
viziti,33
cetere,33
trinki,33
policon,33
serĉu,33
aperis,33
malrapide,33
vorton,33
Marta,32
kuraĝa,32
laboris,32
ludis,32
prezentas,32
neniel,32
Jacob,32
feliĉaj,32
virinon,32
mateno,32
homaro,32
voĉo,32
aĉa,32
kaŝi,32
ĝusta,32
helpis,32
karulino,32
skribas,32
muzikon,32
libroj,32
bezonis,32
nenian,32
merdo,32
besto,32
teatro,32
Berlino,32
ŝanĝis,31
hejmon,31
akcepti,31
situacio,31
vortojn,31
Eŭropo,31
muro,31
amis,31
vilaĝon,31
bebon,31
B,31
mortigas,31
Ĉihiro,31
eksteren,31
ludu,31
ŝtonoj,31
forton,31
ĵuras,31
montras,31
Maria,31
rakonti,31
mar,31
redonu,31
pardonas,31
n,31
aĝo,31
dormu,31
car,31
flugo,31
ĉambron,31
finiĝos,31
malsatas,31
komencas,31
Eva,31
kompatinda,31
dekstre,31
rimarkas,31
vespero,31
Sir,31
utilas,31
novaj,31
libereco,31
preĝu,31
montris,31
mirinda,30
demetu,30
Sveĉnikov,30
malsano,30
simpla,30
respondo,30
Munĥauzen,30
nelonge,30
tridek,30
ŝtono,30
evidente,30
peza,30
malproksime,30
riflemen,30
samtempe,30
kaptilo,30
sovaĝa,30
Koroku,30
Dallas,30
problemon,30
sklavoj,30
majstro,30
leĝo,30
Quick,30
sana,30
vorto,30
agas,29
rublojn,29
sorto,29
bezonatas,29
rakontos,29
komprenos,29
facila,29
batalo,29
ekster,29
mensogas,29
formo,29
etan,29
telefoni,29
amikojn,29
liajn,29
rifuzas,29
ridinda,29
filmon,29
trans,29
okulo,29
malfacila,29
Francisko,29
ĉefa,29
koleras,29
Icka,29
klarigi,29
kaptos,29
tablo,29
tasko,29
proksima,29
kaŝas,29
malfermita,29
simioj,29
akiris,29
sablo,29
maŝino,29
rusoj,29
degeneruloj,29
kaŝis,28
mortigu,28
buŝon,28
domaĝe,28
sonĝo,28
Cinisi,28
reala,28
haltigu,28
animon,28
maniero,28
well,28
vokas,28
vivojn,28
forlasu,28
postenon,28
amon,28
kutime,28
tempoj,28
normale,28
malkovris,28
maltrankviliĝu,28
batalas,28
silento,28
ilian,28
uzis,28
rompis,28
danke,28
leteron,28
perdos,28
geknaboj,28
sekreton,28
Irufor,28
sekvas,28
peti,28
blanka,28
sendu,28
pripensu,28
vico,28
plezuro,28
arboj,28
des,28
igis,28
patrinon,28
kvara,27
Obeliks,27
silenton,27
serĉis,27
knabon,27
amuza,27
efektive,27
inĝeniero,27
milionoj,27
batis,27
atakis,27
f-no,27
telefono,27
Elia,27
oĉjo,27
opiniis,27
KeCe,27
deziris,27
Maksim,27
blua,27
provi,27
eniras,27
kreskis,27
espero,27
surprizo,27
flanken,27
sekva,27
Ivan,27
puŝu,27
malamikoj,27
elteni,27
neeblas,27
frenezulo,27
Pavĉjo,27
kuzo,27
scius,27
honoro,27
iel,27
palaco,27
pardoni,27
sonĝis,27
sano,27
fidu,27
feliĉan,27
revolucio,27
nuntempe,27
perdita,27
lernejon,27
Hey,26
Vaganto,26
cikatron,26
agrable,26
lastaj,26
timis,26
plano,26
eksciis,26
tiamaniere,26
rato,26
